-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne I    |  4360.036  |     2 | 5  |           |      
Ne I    |  4363.918  |   30* | 7  |           |      
        |            |       |    |           |      
Ne I    |  4363.937  |   30* | 5  |           |      
Ne I    |  4364.459  |     2 | 5  |           |      
Ne I    |  4364.7503 |    70 | 9  |           |      
Ne II   |  4366.864  |       | 6  | 1.2e-02   | D    
Ne I    |  4366.931  |     1 | 5  |           |      
        |            |       |    |           |      
Ne II   |  4371.092  |   120 | 6  | 3.5e-02   | D    
Ne I    |  4373.040  |     2 | 3  |           |      
Ne I    |  4373.3796 |   30* | 5  |           |      
Ne I    |  4373.403  |   30* | 5  |           |      
Ne I    |  4376.221  |    2* | 3  |           |      
        |            |       |    |           |      
Ne I    |  4376.253  |    2* | 7  |           |      
Ne I    |  4378.972  |    2* | 5  |           |      
Ne I    |  4378.982  |    2* | 5  |           |      
Ne II   |  4380.631  |    70 | 8  | 2.0e-01   | D    
Ne II   |  4380.783  |   150 | 10 | 2.2e+00   | D    
        |            |       |    |           |      
Ne I    |  4382.4511 |    30 | 5  |           |      
Ne II   |  4386.207  |       | 6  | 1.8e-01   | D    
Ne II   |  4386.294  |   100 | 8  | 2.0e+00   | D    
Ne II   |  4393.229  |   200 | 10 | 2.4e-01   | D    
Ne I    |  4395.598  |   15* | 7  |           |      
        |            |       |    |           |      
Ne I    |  4395.602  |   15* | 5  |           |      
Ne I    |  4395.612  |   15* | 5  |           |      
Ne I    |  4395.989  |   15* | 7  |           |      
Ne I    |  4396.009  |   15* | 5  |           |      
Ne I    |  4396.260  |     1 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4396.538  |     1 | 5  |           |      
Ne I    |  4396.7908 |    50 | 7  |           |      
Ne I    |  4397.213  |     1 | 3  |           |      
Ne I    |  4398.428  |     1 | 3  |           |      
Ne II   |  4399.23   |   150 | _  |           |      
        |            |       |    |           |      
Ne I    |  4399.368  |     5 | 1  |           |      
Ne I    |  4403.616  |     2 | 5  |           |      
Ne I    |  4403.791  |     1 | 3  |           |      
Ne I    |  4404.233  |     1 | 7  |           |      
Ne I    |  4406.820  |     2 | 3  |           |      
